Title,Published_date,Views,Likes,Comments
Anger in India after Ukraine Posts Offensive Photo Maa Kali |Disrespect to Goddess Kali,2023-04-30T13:11:12Z,1190071,74832,21418
Theory Of Evolution Removed from NCERT??? Know The Actual Truth!!,2023-04-29T15:52:41Z,781560,44442,3865
No Handshake with China | Images of Rajnath Singh go viral,2023-04-29T12:28:27Z,850872,49259,4425
India is Equal to NATO says USA |Military Tech Trade between US and India,2023-04-29T08:06:33Z,856913,85376,898
France Thanks India for Help in Sudan | Turkey’s Plane Shot in Sudan!,2023-04-29T05:47:33Z,987432,54188,2205
Pakistan Officially asks USA for Military Aid  | Impact on India #shorts,2023-04-28T13:05:44Z,1307993,119387,1448
28 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-28T00:30:16Z,16263,640,39
USA Ended South Korea’s Nuclear Weapons Programme  | Thank God it has never happened to India,2023-04-27T15:20:41Z,1047838,59548,4829
Ukraine Pakistan military Deal will Hurt India? Ukraine to supply Mi-17  engines to Pakistan,2023-04-27T07:04:02Z,809286,41532,3054
This Amazing Website Shows ACTUAL Size of All Countries! #shorts,2023-04-27T03:48:06Z,632871,57091,387
Pakistan Fears Another Surgical Strike by India | Defence Minister Visit to India cancelled?,2023-04-26T16:40:00Z,984334,54279,3840
Panic in Russia over Putin’s Arrest Warrant | Will South Africa put Putin in Jail?,2023-04-26T07:18:26Z,967811,49953,3409
26 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-26T00:30:33Z,12599,580,58
Pakistani Tanks not in Working Condition for against India | Video goes Viral in India and Pakistan,2023-04-25T15:55:26Z,928800,49337,3794
Indians are angry over Germany Cartoon about Indian Population,2023-04-25T05:12:05Z,1125128,59315,8416
25 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-25T00:30:16Z,11336,554,53
World is Shocked by China's Statement on USSR | How will it Impact India?,2023-04-24T13:42:59Z,994518,50564,3852
24 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-24T00:30:03Z,10990,471,26
India’s Grand Plan to SAVE Indians from Sudan | How Egypt and Saudi Arabia will help,2023-04-23T17:53:54Z,689895,41887,1666
This is what Elon Musk said about India's Population,2023-04-23T10:31:06Z,652887,63943,1384
Amritpal Singh Arrested after Surrender in Punjab | Taken to Assam Jail,2023-04-23T05:15:11Z,1001995,55418,4419
Attempt This FREE Test and win Gifts! | Doesn't matter if Answers are Right or Wrong,2023-04-23T03:03:42Z,62120,2722,151
This Photo shows the BIGGEST Difference Between India and China,2023-04-22T17:10:53Z,1040014,51046,2876
Shocking video of Russia bombing its own city #shorts,2023-04-22T15:09:52Z,653982,61373,399
3 foreign terrorists involved in Poonch Attack? | Impact on India Pakistan relations,2023-04-21T15:05:09Z,1188689,70765,5982
India compared with World | How many countries have Apple Stores? #shorts,2023-04-21T08:18:10Z,989452,93006,1296
Pakistan Foreign Minister to visit India for the first time since 2011 | India Pakistan Relations,2023-04-21T05:56:10Z,722359,41112,3108
21 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-21T00:30:03Z,12187,576,44
"This is What China said about India’s Population | India has Quantity, China has Quality",2023-04-20T15:35:31Z,1026165,56126,7497
20 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-20T00:30:11Z,15634,606,59
China Will Not Attend FIRST Global Buddhist Summit in New Delhi | Is China Afraid of Dalai Lama?,2023-04-19T17:40:13Z,612801,38263,2111
All World Maps are WRONG! What is the ACTUAL Size of India? | The Most Important Map video,2023-04-19T09:00:08Z,2519110,97916,4366
Chinese National sent to Secret Jail after Blasphemy in Pakistan | Will Pakistan be punished?,2023-04-19T05:22:51Z,746006,41865,3653
19 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-19T00:30:09Z,11786,568,40
China's Media said this NICE thing about Indian Economy,2023-04-18T15:33:29Z,655268,70052,1181
18 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-18T00:30:01Z,15397,605,74
India Russia Free Trade Agreement Talks Started | USA and Europe will hate this,2023-04-17T17:58:03Z,926684,52524,1992
US Government was reading all private messages on twitter says Elon Musk #shorts,2023-04-17T16:07:02Z,591898,59928,660
Russia vs USA in Sudan | Indians asked to stay safe as Sudan crisis increases,2023-04-17T15:50:24Z,762252,43515,1987
17 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-17T00:30:14Z,14809,585,55
Pakistan Blames India for Pulwama | Satya Pal Malik Controversy,2023-04-16T14:52:29Z,1014656,52886,5967
Ukraine was buying Russian Oil? Legendary Hypocrisy,2023-04-15T15:16:50Z,1029931,61918,3888
Japanese Prime Minister Attacked in a Blast | Why India should be worried,2023-04-15T08:06:25Z,1069582,59642,3065
There is 0% Chance of this happening in India | Countries ranked over recession chances #shorts,2023-04-14T14:03:28Z,756576,73891,1821
14 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-14T00:30:05Z,17109,652,60
International Isolation starts for Pakistan as Sweden declares it is leaving because of security,2023-04-13T17:59:17Z,948139,53773,3894
Biden forgot who is Rishi Sunak in UK | Video goes viral #shorts,2023-04-13T14:54:30Z,962106,84174,3483
Ukraine asks India for entry in G20 summit | This will make Putin very angry,2023-04-13T14:14:59Z,832095,49907,6629
This country has the worst military in the entire world #shorts,2023-04-13T11:47:53Z,1161266,104916,1998
13 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-13T00:30:09Z,12747,584,36
Elon Musk said This about BBC and PM Modi | BBC to get new tag on twitter,2023-04-12T16:04:32Z,1147428,56886,1698
12 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-12T00:30:01Z,14134,553,73
US Secret Documents Leaked | Russia and China laugh as world reads US secrets | Russia Ukraine War,2023-04-11T16:02:41Z,960904,55013,3497
Dalai Lama says sorry after video controversy #shorts,2023-04-11T14:34:00Z,596389,50673,1914
USA is Trying to Change the Government in Bangladesh | Why India Should be worried,2023-04-11T12:09:00Z,1023250,49941,4216
11 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-11T00:30:18Z,13634,570,49
This Country Humiliated Germany after India #shorts,2023-04-10T14:38:42Z,1427143,116893,2432
UK Media says India has Stopped Trade Deal over Khalistan Issue | India Rejects Claims,2023-04-10T13:01:57Z,968897,51779,3427
10 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-10T04:51:33Z,11365,500,34
France just killed US dollar by saying this | Europe Must Stop Following USA and Dollar,2023-04-09T16:55:58Z,989403,54975,2444
China released this video about Taiwan Invasion #shorts,2023-04-09T14:15:37Z,1051037,96366,1367
Don’t Remove the Mughals from History books says US NGOs,2023-04-08T17:59:34Z,870690,49626,11875
JACKPOT for India as Scientists Find Rare Earth Reserves in India!  By Prashant Dhawan,2023-04-08T14:27:14Z,1120129,65060,2506
India Finally Tells Myanmar to Stop China’s Military in Coco Island,2023-04-07T18:09:35Z,835603,47615,3015
"USA asks for India’s Help to Control China’s Poison | After 1,00,000 Deaths from this drug",2023-04-07T15:17:54Z,1065694,58170,3121
7 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-07T00:30:04Z,15770,664,46
This is what India said on Trump’s Arrest in USA | Statements on Germany and Israel Given,2023-04-06T15:36:41Z,986870,62125,3782
6 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-06T00:30:03Z,13881,596,60
Bullet-Proof Box used to Save Former Prime Minister | Crazy Scenes from Pakistan,2023-04-05T18:17:19Z,1003255,56305,4733
This Geopolitics Meme became Viral after Finland Joined NATO | West laughs at Putin and Russia,2023-04-05T15:06:50Z,815012,48423,2419
USA Jumps to India’s Support After China Renames Arunachal Pradesh,2023-04-05T10:39:02Z,904060,58239,7555
5 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-05T00:30:15Z,13711,609,48
Pakistani men are Destroying British Girls says UK Minister | This statement has made Pakistan angry,2023-04-04T16:17:14Z,1462436,65905,9161
4 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-04T00:30:14Z,15064,617,55
Japan copies India's Policy | Japan starts buying oil from Russia | USA and Europe Shocked,2023-04-03T18:09:16Z,916040,58646,2633
7 Days to Fall in love for the Country | China's order shocks the world #shorts,2023-04-03T16:20:47Z,709997,66196,1407
Italy to BAN English Language? Can other countries do this too? End of English Dominance?,2023-04-03T14:20:41Z,965530,53599,8085
3 April 2023 | Daily Current Affairs MCQs by Aman Sir,2023-04-03T00:30:04Z,14391,629,44
ISRO and DRDO Make HISTORY | India’s First Reusable Launch Vehicle Tested with Success!,2023-04-02T15:51:35Z,1247514,67756,3092
Jammu and Kashmir's budget is twice the size of Pakistan's IMF bailout request #shorts,2023-04-02T09:38:13Z,2005692,166370,2894
NATO says Door is Open for India | Will India become a NATO member ? Russia's Reaction,2023-04-01T15:40:56Z,1169869,56152,4535
UK calls Russia’s Foreign Policy an April Fool’s Day joke | India and China Friends under Russia?,2023-04-01T12:19:43Z,703433,42565,2677
India to Build a Satellite city in Russia | Why China will be angry at this?,2023-03-31T16:02:05Z,906096,51609,2359
This image of future Trees scared a lot of people | What trees will look like in the future #shorts,2023-03-31T13:44:57Z,812989,80042,1856
USA to Send Opposition leader Trump to Jail | Should India Comment on US Democracy?,2023-03-31T11:30:37Z,878708,51219,6243
31 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-31T00:30:17Z,14479,630,50
India and Israel Block Biden’s Democracy Summit Proposal | Turkish Media said this about India,2023-03-30T17:41:16Z,883566,52391,2462
Why IPL is so important for India's Economy | India's First Ever Unicorn #shorts,2023-03-30T16:02:32Z,691989,78378,835
Germany Tells India what to do in Rahul Gandhi Case | Interference in India’s Internal Affairs?,2023-03-30T13:45:09Z,760426,49826,5046
30 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-30T00:30:09Z,13756,599,53
Is UPI Still Free or Not? 1.1% Fee after Rs. 2000 ? Explained,2023-03-29T14:55:39Z,1020570,59756,2697
29 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-29T00:30:24Z,14598,620,65
FIRST TIME IN INDIAN HISTORY India’s Exports Cross 750 Billion Dollars,2023-03-28T17:49:18Z,971162,61491,5512
India and Pakistan could divide UK forever | Case of Karma,2023-03-28T13:47:36Z,1459987,147839,3770
Pakistan rejects US invitation for democracy Summit | Biden's Pakistan blunder,2023-03-28T13:22:55Z,767617,45021,4813
India Finally Takes Action against BBC | Account blocked in India! #shorts,2023-03-28T09:08:30Z,551485,56814,653
28 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-28T00:30:03Z,14229,603,39
Insane Protests in Israel | Embassy in India shuts down because of Pressure | Explained,2023-03-27T16:50:10Z,1120406,59985,4819
China Runs Away From India’s Arunachal G20 Meeting | Should India Protest?,2023-03-27T14:58:22Z,845783,51897,1904
27 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-27T00:30:10Z,13293,607,41
India Replaces Russia in Satellite Launch | Rs. 1000 Crore Earned by ISRO by launched 36 satellites,2023-03-26T16:53:39Z,998046,57720,2748
US legislators ask PM Modi to Reverse Decision on Rahul Gandhi,2023-03-26T10:52:15Z,965789,55702,9371
India misfires missiles again | Pakistan nervous after Brahmos incident #shorts,2023-03-25T11:41:20Z,2568323,196310,4401
"S 400 Won't be Delivered? Indian Air Force Takes a Rs 26,000 Crore Hit Because of Russia Ukraine War",2023-03-25T07:16:41Z,1088700,50911,2860
India to build Toilet Outside UK Embassy? UK says Please No #shorts,2023-03-24T13:49:31Z,833628,86540,8020
Rahul Gandhi No Longer An MP After Jail Sentence | Impact on Democracy in India,2023-03-24T12:52:41Z,1110835,69919,9760
"Can a Country Destroy its own Nuclear Weapons? YES, IT HAPPENED ONCE #shorts",2023-03-24T09:47:27Z,1815375,173038,1266
24 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-24T00:30:27Z,14609,630,43
Ukraine is Happier than India and Pakistan?? Happiness Index 2023 Logic Explained,2023-03-23T17:57:55Z,767855,49069,7006
23 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-23T00:30:09Z,15207,632,32
Mega 75 Billion Dollar Announcement by Japan in India | Japanese PM with PM Modi,2023-03-22T17:12:59Z,1037993,63531,2934
This video made US very worried | China and Russia planning something big #shorts,2023-03-22T13:12:18Z,4258815,269422,5049
India shows UK its Place | Security Barricade removed from UK High Commission,2023-03-22T10:03:19Z,1257649,82346,4871
22 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-22T00:30:09Z,13944,614,42
Massive Earthquake hits India and Pakistan #shorts,2023-03-21T17:41:13Z,638252,62027,1482
We will make USA understand with Love | Jaishankar's Important statement on new US Envoy to India,2023-03-21T08:47:10Z,1125180,62779,4105
21 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-21T00:30:19Z,12655,572,48
When Indonesia almost attacked India #shorts,2023-03-20T14:26:26Z,1487892,134523,1403
Indian Flag Taken down in UK | India Disrespected | Protests in Delhi,2023-03-20T14:04:38Z,916405,65902,4770
Will you spend 6 Crore Rupees on this Insane ISRO Project? #shorts,2023-03-20T10:46:10Z,965591,98084,4112
20 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-20T00:30:00Z,13536,608,55
Trump and Putin will both go to Jail? Know how will it Impact India,2023-03-19T16:18:50Z,838101,52519,2780
Imran Khan in Pakistan and Amritpal in India | Both running away | Know what is happening,2023-03-19T05:51:24Z,1043734,62577,4892
Pakistan to Stop Nuclear Missile Programme Because of IMF Pressure? Know what happened,2023-03-17T16:00:52Z,999891,55041,2418
This is what ChatGPT said about India's Most Friendliest Countries #shorts,2023-03-17T14:14:46Z,867665,86609,4533
Nobel Prize Fake News Controversy Explained | Nobel Prize for PM Modi?,2023-03-17T06:55:27Z,682188,41073,3961
17 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-17T00:30:13Z,14052,689,63
As US Banks Fail INDIA's RBI Win's Global Award | Why India's RBI is better than US Fed,2023-03-16T16:43:46Z,945704,55402,2134
16 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-16T00:30:16Z,16266,618,38
Crazy Scenes from Pakistan as Imran Khan is under Heavy Attack  | Why is USA so quiet?,2023-03-15T15:39:33Z,1080063,64981,3531
Russia Crashes US Military Drone | War between Superpowers Possible?,2023-03-15T05:25:06Z,809496,54240,2871
15 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-15T00:30:05Z,14643,674,34
Insane Scenes from Pakistan | Shelling inside Imran Khan's House #shorts,2023-03-14T13:26:49Z,1853486,131918,3075
14 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-14T00:30:31Z,17838,672,43
What do other countries think about India as a friend? Russia USA Turkey Europe and China,2023-03-13T15:28:43Z,1017626,57906,28175
India Dominates at the Oscars | RRR Creates History | Oscars 2023,2023-03-13T12:38:18Z,900531,64055,2660
13 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-13T00:30:16Z,14206,625,42
Silicon Valley Bank Collapse in US | Indians Are Laughing at Hindenburg | SVB by Prashant Dhawan,2023-03-12T14:11:43Z,1572439,77144,3743
Australia to Buy India's Mega Drone for Military? #shorts,2023-03-11T15:47:55Z,744170,92265,546
Putin’s Most Brilliant Move will Benefit India? REVERSE ENGINEERING OF AMERICAN WEAPONS,2023-03-11T15:17:03Z,999257,61537,3307
Why PM Modi is called MODI LAOXIAN in China? You will be shocked to know this,2023-03-10T15:42:41Z,1400786,79021,4342
10 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-10T00:30:16Z,18784,775,34
Proud Moment for India as Australian PM sends Message to China from INS Vikrant Aircraft Carrier,2023-03-09T16:02:30Z,828438,49964,1361
USA just gave India the World's Most Expensive Satellite #shorts,2023-03-09T12:31:11Z,817678,97326,920
09 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-09T00:30:01Z,14346,587,44
How India celebrated Holi with World Leaders | Beautiful scenes from all over India,2023-03-08T16:33:03Z,1072778,71545,3224
08 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-08T00:30:09Z,15096,553,55
Was Germany given less Respect than Russia in India? | Know what is the controversy,2023-03-07T15:29:58Z,912217,55922,2046
Don't use Chinese Smartphones warns India's intelligence agencies #shorts,2023-03-07T11:37:09Z,787197,82872,3317
07 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-07T00:30:12Z,14442,552,48
India is Dangerously close to Hindu Rate of Growth | What is Hindu rate of Growth | Raghuram Rajan,2023-03-06T16:09:22Z,1505003,72342,6577
06 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-06T00:30:09Z,15852,658,33
Remove these ANTI - INDIA Posters from your Country | Why India is angry at Switzerland,2023-03-05T16:44:05Z,1110439,64194,5368
Did Turkey Backstab India at UN? | Know What Actually Happened,2023-03-05T10:51:07Z,1046406,66222,6523
Worry for India and USA | China’s Defence Budget to Cross $300 Billion?,2023-03-04T16:59:11Z,748716,44136,2721
This is what happened when ChatGPT Tried India's Toughest Exam | UPSC Exam failed by ChatGPT,2023-03-04T12:06:49Z,1368571,65276,5786
Should India give Russia money? Russia will run out of money very soon #shorts,2023-03-04T10:11:24Z,2023353,171022,4851
India Finally Allows Statement Against Russia in QUAD | QUAD Does not want a Nuclear War,2023-03-03T15:57:21Z,875058,50840,2080
Gold Reserves Found in Odisha | How Big is this for India? #shorts,2023-03-03T07:30:32Z,1006814,99064,1289
03 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-03T00:30:30Z,18969,774,33
Russia and India are preparing to Shock the World | Mars Aircraft to be made by Russia and India,2023-03-02T16:03:12Z,1075985,59829,2105
Don't Sell S 800 Weapons to Pakistan | India wants this from Italian Prime Minister,2023-03-02T12:16:22Z,1166847,57209,1909
02 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-02T00:30:10Z,15532,661,40
Jaishankar’s HARD Reply to the UK over BBC Tax issue | FOLLOW INDIAN LOW,2023-03-01T17:05:07Z,961275,57124,2064
The Sad Truth about India | How India lost Billions to South Korea | Patriotism,2023-03-01T12:42:10Z,1282051,97131,9892
01 March 2023 | Daily Current Affairs MCQs by Aman Sir,2023-03-01T00:30:03Z,16876,701,54
Japan will not attend but China will attend India's G20 Meeting | Major Geopolitical Development,2023-02-28T14:21:11Z,1023937,59275,3930
Japan Puts Pressure on India over Russia | G20 Meeting Skipped,2023-02-28T11:18:45Z,831656,89535,2355
28 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-28T00:30:30Z,17783,683,54
27 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-27T00:30:02Z,19656,738,43
This Small Oil Rich Country Has a lot of Respect for India | You should know about this Country,2023-02-26T18:01:06Z,1283480,70975,3356
Why Team India Still uses British Era Logo? | Should we change it?,2023-02-26T14:24:55Z,602243,39223,2721
Russia and Germany Fight for India’s Mega $5.2 Billion Project | German Chancellor in India,2023-02-25T13:26:54Z,955547,53731,2969
Russia Kicked Out of FATF Group | Bad news for India but Great News for Pakistan,2023-02-24T18:03:24Z,953629,55774,4196
France warns India over Russia War | France will not Sign G20 until Russia is criticised,2023-02-24T16:02:00Z,1151798,61157,4820
Why Russians and Ukrainians shout this at each other? #shorts,2023-02-24T09:21:17Z,1207392,107962,1283
24 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-24T00:30:04Z,18965,756,42
Will India help Pakistan Financially? Jaishankar on India's possible assistance to Pakistan,2023-02-23T17:55:56Z,983802,54533,9389
India Will Sell Lithium Reserves? Lithium auction of Jammu Kashmir reserves soon?,2023-02-23T12:56:04Z,835428,54561,4559
France asks India to vote against Russia | Napoleon Controversy between Russia and France,2023-02-23T04:48:18Z,909527,56224,3630
23 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-23T00:30:32Z,14025,634,51
Pakistan's Weird Idea | Ban on all terror-related news #shorts,2023-02-22T14:44:37Z,543203,61933,922
Pakistan asks the Most Powerful Family in the world for Help | Can Rothschild Save Pakistan?,2023-02-22T10:16:29Z,922274,48122,2655
22 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-22T00:30:17Z,15965,718,61
Delhi bans OLA Uber and Rapido Bike Service | Lakhs Jobs Impacted,2023-02-21T16:06:12Z,885630,49437,4814
Biden’s High-Risk Ukraine Tour | Why Americans are Angry about it?,2023-02-21T11:40:57Z,711993,48580,1618
India can never TRUST the west says China #shorts,2023-02-21T10:28:25Z,786276,93960,1232
21 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-21T00:30:09Z,16861,741,55
Is Imran Khan hiding in Bunker?  Something big will happen in Pakistan #shorts,2023-02-20T15:26:31Z,709877,76218,1020
This is How Turkey Thanked India | Video of NDRF goes Viral | Pakistan's Turkish blunder,2023-02-20T15:13:09Z,1018523,80352,3880
20 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-20T00:30:31Z,21134,811,94
Iran FM Cancels India visit over THIS Video | India Iran Relations Impacted?,2023-02-17T17:59:02Z,1044615,55044,2862
India and Israel will manufacture this powerful missile | Lora Missile #shorts,2023-02-17T16:08:12Z,1162309,128592,4396
Attack on India ? Does this man want to change government in India? कौन हैं जॉर्ज सोरोस ?,2023-02-17T12:09:44Z,1218210,72733,9850
Massive Humiliation of China | 10 American Balloons Over China?,2023-02-17T08:28:08Z,964033,56959,2610
India will change completely - Ray Dalio’s Massive prediction about India #shorts,2023-02-17T06:41:28Z,796319,87694,775
17 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-17T00:30:05Z,15944,779,84
The Biggest Lottery Win | Rs. 16500 crore won by one man #shorts,2023-02-16T12:21:01Z,814953,92684,1149
This is what USA said on BBC Tax Controversy in India | Freedom of Press?,2023-02-16T07:16:19Z,692948,45532,2618
16 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-16T00:30:14Z,16154,750,44
Words like Mother and Father will be banned in future? Know what Scientists want #shorts,2023-02-15T14:35:28Z,658139,56046,4405
15 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-15T00:30:10Z,21005,802,36
Historic 100 Billion Dollar Deal Between India France and USA | Air India will buy 500 Aircrafts,2023-02-14T17:31:10Z,1203802,65607,4173
Lord Hanuman's sticker removed from Indian Aircraft after Controversy #shorts,2023-02-14T12:24:14Z,919277,112701,8089
Is USA hiding a Massive Disaster from the World? | China Claims Chernobyl level disaster in Ohio,2023-02-14T08:30:51Z,1121054,62669,3773
14 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-14T00:30:00Z,17685,743,71
USA sends F 35 Fighter Jet to India | First time in India’s History,2023-02-13T14:52:39Z,1160183,63867,2698
13 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-13T00:30:06Z,21454,810,57
This is what people can learn from Putin #shorts,2023-02-12T16:06:56Z,769184,93396,1036
This is how IMF Humiliates Pakistan | Pak PM admits what happened #shorts,2023-02-11T15:40:26Z,1044154,101251,1402
After India's Lithium Discovery USA sends Top Energy Official | Jammu Kashmir Lithium Discovery,2023-02-11T15:16:55Z,1546607,84192,5540
Russia Offers India “CHECKMATE” Fighter Jet after Mega US Offer | Fight for Indian market,2023-02-10T16:29:29Z,1040069,58819,1930
Lithium Found In India | Lithium Found in Jammu & Kashmir | Jackpot for India | All about Lithium,2023-02-10T10:27:50Z,1279809,82513,6807
10 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-10T00:30:12Z,17796,787,81
China released THIS video to mock USA | India gets warning from US about China balloons,2023-02-09T18:10:00Z,964452,54853,2388
Mega Earthquake will hit India and Pakistan soon? Prediction of Dutch Researcher #shorts,2023-02-09T11:01:10Z,1039744,93892,3026
Turkey Cancels Pakistan PM’s Visit | Asks Indians to donate for Turkey Earthquake Fund,2023-02-09T07:24:18Z,1130193,70815,4336
9 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-09T00:30:09Z,19123,739,60
This is how cruel USA can get | Syria cries for help #shorts,2023-02-08T12:48:52Z,873978,108776,1691
Pakistan tried to Block India’s Help to Turkey? Airspace Blocked for India?? Know the Truth,2023-02-08T04:40:59Z,1018000,66478,3996
8 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-08T00:30:03Z,18321,770,56
Turkey Thanks India for Help! #shorts,2023-02-07T14:54:33Z,1119632,114056,1629
7 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-07T00:30:11Z,23374,849,51
Weak Pakistan will be Dangerous for India says Russia | What did Russia mean by this?,2023-02-06T17:43:37Z,1017920,58409,3693
Turkey Destroyed by massive Earthquake | India sends Help to Turkey as PM Modi offers support,2023-02-06T14:00:09Z,955468,65695,5431
6 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-06T00:30:10Z,21696,854,68
India forms new group with UAE and France | RAFALE Group #shorts,2023-02-05T13:10:25Z,692391,81694,366
USA Shoots Down China’s Spy Balloon | Video goes Viral around the World,2023-02-05T07:44:12Z,940452,57193,2616
India shouldn't give money to Taliban says Kejriwal | Know the complete issue,2023-02-04T17:45:25Z,824767,48512,5357
Pakistan Bans Wikipedia over Religion | जानें क्यों?,2023-02-04T14:12:20Z,862258,52406,3267
What Rishi Sunak said on Hinduism and his Dharma as UK Prime Minister #shorts,2023-02-04T11:45:02Z,1136950,144441,1374
Panic in USA over Chinese Military Balloon in Sky | Will USA Shoot down Chinese Spy?,2023-02-03T17:04:33Z,826797,48764,2383
Australia to Follow India | England's Royal Family Removed from Currency! #shorts,2023-02-03T13:28:57Z,4287264,325547,1102
3 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-03T00:30:10Z,26041,972,67
Adani says all the money will be returned to investors | Has Hindenburg won?,2023-02-02T17:47:53Z,915189,52159,5330
Putin's Scary warning to Israel | Israel will send Iron Dome to Ukraine soon? #shorts,2023-02-02T15:51:03Z,908264,99578,941
India's Budget 2023-24 | Defence Budget | ISRO Budget | Income Tax Budget 2023-24,2023-02-02T06:45:07Z,1479337,75202,3341
2 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-02T00:30:15Z,20987,816,61
USA Finally Gives India Mega Military Push | Fighter Jet Engines will be MADE IN INDIA,2023-02-01T14:26:59Z,965490,59168,2504
1 February 2023 | Daily Current Affairs MCQs by Aman Sir,2023-02-01T00:30:04Z,24239,904,59
Iran warns Pakistan of 18 Billion Dollar Penalty | How does it Impact India?,2023-01-31T16:57:09Z,1138502,54545,2349
Adani Group saved by UAE and Israel | Know what happened in Adani Hindenburg case,2023-01-31T13:31:47Z,1122691,58110,3007
31 January 2023 | Daily Current Affairs MCQs by Aman Sir,2023-01-31T00:30:06Z,21144,850,68
Israel launches Drone Attack on Iran | Another War between Israel and Iran?,2023-01-30T17:00:11Z,825084,46425,1400
Pakistan mosque attacked | Taliban running wild,2023-01-30T15:47:29Z,941781,56355,4620
Putin Openly said he will Bomb UK with a Missile | World on the verge of World War 3 #shorts,2023-01-30T08:44:59Z,739467,72802,1160
30 January 2023 | Daily Current Affairs MCQs by Aman Sir,2023-01-30T00:30:12Z,24771,793,53
Sonam Wangchuk is under House Arrest?? Know the Complete Controversy in  Ladakh after Article 370,2023-01-29T17:56:44Z,1062688,59563,3600
This is what Russia said on PM Modi BBC Documentary Controversy,2023-01-29T14:23:41Z,793406,53540,2474
UK wants India to Leave France and join AUKUS | Rishi Sunak Invites India to AUKUS,2023-01-28T17:16:50Z,1267805,56420,4948
Lord Hanuman and Lord Krishna were the BEST Diplomats in the World says Dr S Jaishankar #shorts,2023-01-28T15:39:03Z,831969,126214,1976
Mughal Garden Renamed Amrit Udyan in Delhi | Huge Controversy over name change,2023-01-28T14:06:07Z,924932,58767,10294
India to get Land in this IMPORTANT Location??? Suez Canal Special Economic Zone of Egypt,2023-01-27T17:48:45Z,994721,58562,1997
